gene	PC	NDC
GCF-003264955-protein597.fasta	1	41
GCF-008931525-protein5859.fasta	1	40
GCF-003264955-protein4685.fasta	1	40
GCF-008931525-protein7324.fasta	1	40
GCF-003073995-protein8790.fasta	1	34
GCF-006385655-protein2529.fasta	1	41
GCF-003264955-protein3209.fasta	1	39
GCF-003408575-protein6694.fasta	1	39
GCF-006385655-protein6792.fasta	1	40
GCF-009930835-protein7740.fasta	1	2
GCF-006385655-protein1469.fasta	1	40
GCF-008931645-protein7645.fasta	1	39
GCF-003264955-protein4436.fasta	1	35
GCF-009738085-protein7278.fasta	1	41
GCF-006385655-protein3998.fasta	1	38
GCF-008931405-protein384.fasta	1	34
GCF-001022015-protein3138.fasta	2	34
GCF-002237465-protein6032.fasta	2	40
GCF-003965345-protein3220.fasta	2	38
GCF-008505035-protein6185.fasta	2	40
GCF-003965345-protein3190.fasta	2	40
GCF-008931405-protein2601.fasta	2	39
GCF-003444755-protein2807.fasta	2	39
GCF-008931645-protein7657.fasta	2	40
GCF-008931785-protein3915.fasta	2	37
GCF-009738085-protein7173.fasta	2	36
GCF-008931645-protein8537.fasta	2	40
GCF-001022015-protein2256.fasta	2	35
GCF-003408595-protein4920.fasta	2	40
GCF-003444755-protein3835.fasta	2	38
GCF-003186415-protein3256.fasta	2	30
GCF-004118875-protein8411.fasta	2	39
GCF-003051945-protein899.fasta	2	39
GCF-012562255-protein2908.fasta	2	40
GCF-003051945-protein2746.fasta	2	37
GCF-003660125-protein6040.fasta	2	37
GCF-003408575-protein7304.fasta	2	24
GCF-008931325-protein8739.fasta	2	39
GCF-003051945-protein119.fasta	2	39
GCF-003073995-protein8432.fasta	2	39
GCF-900635705-protein5690.fasta	2	37
GCF-003408555-protein298.fasta	2	36
GCF-009738085-protein7518.fasta	2	39
GCF-001022015-protein1876.fasta	3	33
GCF-009905155-protein2347.fasta	3	39
GCF-002237465-protein9633.fasta	3	38
GCF-003444755-protein4682.fasta	3	39
GCF-003965345-protein560.fasta	3	38
GCF-009738085-protein7432.fasta	3	39
GCF-008505035-protein9246.fasta	3	39
GCF-009930835-protein7506.fasta	3	36
GCF-011045335-protein1580.fasta	3	36
GCF-004118875-protein7504.fasta	3	1
GCF-009905155-protein3920.fasta	3	6
GCF-003264955-protein869.fasta	4	36
GCF-008931645-protein7371.fasta	4	32
GCF-003264955-protein1268.fasta	4	36
GCF-008931525-protein4959.fasta	4	28
GCF-003408575-protein6753.fasta	4	37
GCF-008931785-protein5150.fasta	4	33
GCF-008931405-protein327.fasta	4	36
GCF-008931525-protein9360.fasta	4	36
GCF-003051945-protein3801.fasta	5	27
GCF-003408575-protein5686.fasta	5	36
GCF-003288475-protein6922.fasta	5	31
GCF-004118875-protein8398.fasta	5	31
GCF-003965345-protein569.fasta	5	31
GCF-009497055-protein7290.fasta	5	31
GCF-003444755-protein4112.fasta	5	11
GCF-008931405-protein3919.fasta	5	37
GCF-001022015-protein2261.fasta	6	36
GCF-008505035-protein5672.fasta	6	35
GCF-009728975-protein656.fasta	6	31
GCF-003444755-protein3382.fasta	6	34
GCF-008931785-protein1090.fasta	6	35
GCF-003264955-protein4636.fasta	6	35
GCF-011045335-protein4817.fasta	6	35
GCF-003408595-protein2040.fasta	6	36
GCF-003428425-protein9239.fasta	6	19
GCF-003444755-protein2108.fasta	6	31
GCF-003660125-protein6036.fasta	6	34
GCF-001022075-protein4422.fasta	6	24
GCF-008693905-protein2063.fasta	6	29
GCF-001022015-protein4636.fasta	7	35
GCF-003965345-protein4410.fasta	7	31
GCF-009738085-protein8564.fasta	7	34
GCF-011044215-protein7803.fasta	7	29
GCF-011045335-protein1555.fasta	7	35
GCF-008931645-protein7514.fasta	7	34
GCF-011044215-protein6658.fasta	7	29
GCF-008931645-protein5071.fasta	7	27
GCF-008931645-protein7339.fasta	7	33
GCF-003408555-protein1316.fasta	8	29
GCF-008505035-protein9222.fasta	8	12
GCF-009738085-protein6975.fasta	8	30
GCF-003428425-protein8087.fasta	8	33
GCF-003408595-protein3693.fasta	8	30
GCF-006385655-protein8223.fasta	8	32
GCF-003073995-protein5811.fasta	8	29
GCF-011045335-protein4339.fasta	8	34
GCF-003408575-protein8294.fasta	8	21
GCF-011045335-protein1188.fasta	8	26
GCF-003288475-protein8705.fasta	9	26
GCF-003965345-protein3178.fasta	9	33
GCF-008505035-protein9021.fasta	9	33
GCF-008931645-protein5066.fasta	9	32
GCF-003288475-protein8517.fasta	9	24
GCF-003444755-protein659.fasta	9	32
GCF-003965345-protein1988.fasta	9	32
GCF-900635705-protein8380.fasta	9	33
GCF-003965345-protein1669.fasta	9	27
GCF-008931405-protein2270.fasta	9	28
GCF-003073995-protein5371.fasta	9	28
GCF-003408555-protein19.fasta	9	29
GCF-003408575-protein6202.fasta	10	31
GCF-008693905-protein2453.fasta	10	28
GCF-009905155-protein2343.fasta	10	32
GCF-009930835-protein4966.fasta	11	29
GCF-008931525-protein5280.fasta	11	31
GCF-009930835-protein4676.fasta	11	26
GCF-003428425-protein7654.fasta	12	25
GCF-008931325-protein8625.fasta	12	28
GCF-003444755-protein4705.fasta	12	23
GCF-006385655-protein3994.fasta	12	26
GCF-003444755-protein2805.fasta	13	27
GCF-004118875-protein7329.fasta	13	22
GCF-004118875-protein5311.fasta	13	25
GCF-008693905-protein135.fasta	13	19
GCF-008931645-protein5635.fasta	14	24
GCF-009930835-protein4616.fasta	14	22
GCF-003408575-protein6658.fasta	15	27
GCF-004118875-protein7401.fasta	15	25
GCF-003965345-protein1686.fasta	15	27
GCF-006385655-protein3537.fasta	15	26
GCF-004118875-protein8176.fasta	15	7
GCF-009497055-protein6905.fasta	15	26
GCF-003288475-protein8651.fasta	15	22
GCF-004118875-protein6239.fasta	16	19
GCF-003408595-protein4236.fasta	23	18
GCF-003965345-protein1208.fasta	23	13
GCF-008505035-protein4281.fasta	25	17
GCF-009738085-protein9427.fasta	25	16
GCF-003660125-protein4934.fasta	27	13
GCF-008931525-protein6364.fasta	27	10
GCF-008693905-protein2010.fasta	27	14
GCF-011045335-protein4184.fasta	27	3
GCF-008693905-protein2054.fasta	28	5
GCF-008931405-protein2695.fasta	28	2
GCF-004118875-protein6360.fasta	32	2
GCF-006385655-protein1640.fasta	32	9
