S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
787791	787910	965	846	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_0	96.67		True
CONTIG	k141_0	980	correct_unaligned
15737	16692	956	1	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_1	99.69	True	True
1027972	1028927	956	1	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_1	99.37	True	True
1224376	1225331	956	1	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_1	99.27	True	True
211967	212922	956	1	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_1	99.16	True	True
CONTIG	k141_1	956	ambiguous
784761	784850	1149	1060	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	100.0		True
CONTIG	k141_4	1248	correct_unaligned
780175	784079	1	3978	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_5	98.16		True
CONTIG	k141_5	3978	correct
315564	317207	14922	13277	Klebsiella_pneumoniae_CP049891.1	k141_7	98.72		False
287154	289713	3129	569	Klebsiella_pneumoniae_CP049891.1	k141_7	98.48		True
unknown
1344097	1345156	4494	5553	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_7	95.75		True
unknown
23061	24705	14922	13277	Klebsiella_pneumoniae_CP049891.1	k141_7	98.78		True
unknown
789465	789584	20313	20194	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_7	95.0		True
unknown
788306	788770	22210	21746	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_7	95.48		True
unknown
CONTIG	k141_7	22210	mis_unaligned
CONTIG	k141_9	3492	unaligned
CONTIG	k141_10	4137	unaligned
760580	761793	1214	1	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_11	100.0		True
CONTIG	k141_11	1214	correct
94286	94425	140	1	Klebsiella_pneumoniae_CP049891.1	k141_12	99.29		True
unknown
91805	92663	1900	1042	Klebsiella_pneumoniae_CP049891.1	k141_12	99.77		True
unknown
